ForecastId,ConfirmedCases,Fatalities
1,84.00000000000001,3.999999999999999
2,109.99999999999997,3.999999999999999
3,109.99999999999997,3.999999999999999
4,120.00000000000003,3.999999999999999
5,170.00000000000009,3.999999999999999
6,174.00000000000009,3.999999999999999
7,237.00000000000009,3.999999999999999
8,273.00000000000006,5.999999999999999
9,281.00000000000006,5.999999999999999
10,298.99999999999994,6.999999999999998
11,348.9999999999999,6.999999999999998
12,367.0000000000001,11.0
13,423.0,14.0
14,423.0,14.0
15,423.0,14.0
16,423.0,14.0
17,423.0,14.0
18,423.0,14.0
19,423.0,14.0
20,423.0,14.0
21,423.0,14.0
22,423.0,14.0
23,423.0,14.0
24,423.0,14.0
25,423.0,14.0
26,423.0,14.0
27,423.0,14.0
28,423.0,14.0
29,423.0,14.0
30,423.0,14.0
31,423.0,14.0
32,423.0,14.0
33,423.0,14.0
34,423.0,14.0
35,423.0,14.0
36,423.0,14.0
37,423.0,14.0
38,423.0,14.0
39,423.0,14.0
40,423.0,14.0
41,423.0,14.0
42,423.0,14.0
43,423.0,14.0
44,174.00000000000009,5.999999999999999
45,186.00000000000003,8.000000000000002
46,241.00000000000009,8.000000000000002
47,258.99999999999994,14.999999999999998
48,243.00000000000006,14.999999999999998
49,243.00000000000006,14.999999999999998
50,258.99999999999994,14.999999999999998
51,276.99999999999994,16.0
52,304.00000000000006,16.999999999999996
53,322.9999999999999,20.0
54,345.00000000000017,22.0
55,348.9999999999999,22.0
56,383.0,22.0
57,383.0,22.0
58,383.0,22.0
59,383.0,22.0
60,383.0,22.0
61,383.0,22.0
62,383.0,22.0
63,383.0,22.0
64,383.0,22.0
65,383.0,22.0
66,383.0,22.0
67,383.0,22.0
68,383.0,22.0
69,383.0,22.0
70,383.0,22.0
71,383.0,22.0
72,383.0,22.0
73,383.0,22.0
74,383.0,22.0
75,383.0,22.0
76,383.0,22.0
77,383.0,22.0
78,383.0,22.0
79,383.0,22.0
80,383.0,22.0
81,383.0,22.0
82,383.0,22.0
83,383.0,22.0
84,383.0,22.0
85,383.0,22.0
86,383.0,22.0
87,367.0000000000001,25.000000000000004
88,409.00000000000017,26.0
89,453.99999999999994,29.000000000000004
90,460.00000000000006,29.000000000000004
91,584.0000000000002,35.0
92,584.0000000000002,35.0
93,847.0,58.000000000000014
94,847.0,107.00000000000003
95,1250.9999999999998,129.99999999999994
96,1250.9999999999998,129.99999999999994
97,1319.9999999999998,151.99999999999997
98,1423.0000000000002,173.0
99,1467.9999999999998,193.00000000000003
100,1467.9999999999998,193.00000000000003
101,1467.9999999999998,193.00000000000003
102,1467.9999999999998,193.00000000000003
103,1467.9999999999998,193.00000000000003
104,1467.9999999999998,193.00000000000003
105,1467.9999999999998,193.00000000000003
106,1467.9999999999998,193.00000000000003
107,1467.9999999999998,193.00000000000003
108,1467.9999999999998,193.00000000000003
109,1467.9999999999998,193.00000000000003
110,1467.9999999999998,193.00000000000003
111,1467.9999999999998,193.00000000000003
112,1467.9999999999998,193.00000000000003
113,1467.9999999999998,193.00000000000003
114,1467.9999999999998,193.00000000000003
115,1467.9999999999998,193.00000000000003
116,1467.9999999999998,193.00000000000003
117,1467.9999999999998,193.00000000000003
118,1467.9999999999998,193.00000000000003
119,1467.9999999999998,193.00000000000003
120,1467.9999999999998,193.00000000000003
121,1467.9999999999998,193.00000000000003
122,1467.9999999999998,193.00000000000003
123,1467.9999999999998,193.00000000000003
124,1467.9999999999998,193.00000000000003
125,1467.9999999999998,193.00000000000003
126,1467.9999999999998,193.00000000000003
127,1467.9999999999998,193.00000000000003
128,1467.9999999999998,193.00000000000003
129,1467.9999999999998,193.00000000000003
130,224.0,3.0
131,266.99999999999994,3.0
132,308.0000000000001,3.0
133,333.99999999999994,5.999999999999999
134,369.99999999999994,8.000000000000002
135,376.00000000000006,12.0
136,390.0,14.0
137,390.0,14.0
138,438.99999999999983,16.0
139,438.99999999999983,21.000000000000004
140,525.0000000000001,21.000000000000004
141,525.0000000000001,21.000000000000004
142,525.0000000000001,21.000000000000004
143,525.0000000000001,21.000000000000004
144,525.0000000000001,21.000000000000004
145,525.0000000000001,21.000000000000004
146,525.0000000000001,21.000000000000004
147,525.0000000000001,21.000000000000004
148,525.0000000000001,21.000000000000004
149,525.0000000000001,21.000000000000004
150,525.0000000000001,21.000000000000004
151,525.0000000000001,21.000000000000004
